		Solar altitude? (deg.)
		KEW.FWT
Date	Time	
Wed, 01/Jan	24:00	
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.3
	10:00	10.8
	11:00	14.3
	12:00	15.6
	13:00	14.6
	14:00	11.4
	15:00	6.3
	16:00	0.0
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Thu, 02/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.4
	10:00	10.8
	11:00	14.3
	12:00	15.7
	13:00	14.7
	14:00	11.5
	15:00	6.4
	16:00	0.0
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Fri, 03/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.4
	10:00	10.8
	11:00	14.4
	12:00	15.8
	13:00	14.8
	14:00	11.7
	15:00	6.5
	16:00	0.0
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Sat, 04/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.4
	10:00	10.9
	11:00	14.5
	12:00	15.9
	13:00	15.0
	14:00	11.8
	15:00	6.7
	16:00	0.0
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Sun, 05/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.5
	10:00	11.0
	11:00	14.6
	12:00	16.0
	13:00	15.1
	14:00	11.9
	15:00	6.8
	16:00	0.1
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Mon, 06/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.5
	10:00	11.0
	11:00	14.7
	12:00	16.1
	13:00	15.2
	14:00	12.0
	15:00	6.9
	16:00	0.2
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Tue, 07/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.6
	10:00	11.1
	11:00	14.8
	12:00	16.2
	13:00	15.3
	14:00	12.2
	15:00	7.1
	16:00	0.4
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Wed, 08/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.7
	10:00	11.2
	11:00	14.9
	12:00	16.3
	13:00	15.5
	14:00	12.3
	15:00	7.2
	16:00	0.6
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Thu, 09/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.7
	10:00	11.3
	11:00	15.0
	12:00	16.5
	13:00	15.6
	14:00	12.5
	15:00	7.4
	16:00	0.7
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Fri, 10/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.8
	10:00	11.4
	11:00	15.1
	12:00	16.6
	13:00	15.8
	14:00	12.7
	15:00	7.6
	16:00	0.9
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Sat, 11/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	5.9
	10:00	11.5
	11:00	15.2
	12:00	16.7
	13:00	15.9
	14:00	12.8
	15:00	7.7
	16:00	1.1
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Sun, 12/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	6.0
	10:00	11.6
	11:00	15.4
	12:00	16.9
	13:00	16.1
	14:00	13.0
	15:00	7.9
	16:00	1.2
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Mon, 13/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	6.1
	10:00	11.7
	11:00	15.5
	12:00	17.1
	13:00	16.3
	14:00	13.2
	15:00	8.1
	16:00	1.4
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Tue, 14/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	6.2
	10:00	11.9
	11:00	15.6
	12:00	17.2
	13:00	16.4
	14:00	13.4
	15:00	8.3
	16:00	1.6
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Wed, 15/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	6.3
	10:00	12.0
	11:00	15.8
	12:00	17.4
	13:00	16.6
	14:00	13.5
	15:00	8.5
	16:00	1.8
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Thu, 16/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	6.5
	10:00	12.1
	11:00	16.0
	12:00	17.6
	13:00	16.8
	14:00	13.7
	15:00	8.7
	16:00	2.0
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Fri, 17/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	6.6
	10:00	12.3
	11:00	16.1
	12:00	17.8
	13:00	17.0
	14:00	13.9
	15:00	8.9
	16:00	2.2
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Sat, 18/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	6.7
	10:00	12.5
	11:00	16.3
	12:00	17.9
	13:00	17.2
	14:00	14.2
	15:00	9.1
	16:00	2.4
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Sun, 19/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	6.9
	10:00	12.6
	11:00	16.5
	12:00	18.1
	13:00	17.4
	14:00	14.4
	15:00	9.3
	16:00	2.6
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Mon, 20/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	7.0
	10:00	12.8
	11:00	16.7
	12:00	18.4
	13:00	17.6
	14:00	14.6
	15:00	9.5
	16:00	2.8
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Tue, 21/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.0
	09:00	7.2
	10:00	13.0
	11:00	16.9
	12:00	18.6
	13:00	17.9
	14:00	14.8
	15:00	9.7
	16:00	3.0
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Wed, 22/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.1
	09:00	7.3
	10:00	13.1
	11:00	17.1
	12:00	18.8
	13:00	18.1
	14:00	15.0
	15:00	10.0
	16:00	3.3
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Thu, 23/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.2
	09:00	7.5
	10:00	13.3
	11:00	17.3
	12:00	19.0
	13:00	18.3
	14:00	15.3
	15:00	10.2
	16:00	3.5
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Fri, 24/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.4
	09:00	7.7
	10:00	13.5
	11:00	17.5
	12:00	19.2
	13:00	18.6
	14:00	15.5
	15:00	10.4
	16:00	3.7
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Sat, 25/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
	04:00	0.0
	05:00	0.0
	06:00	0.0
	07:00	0.0
	08:00	0.6
	09:00	7.9
	10:00	13.7
	11:00	17.7
	12:00	19.5
	13:00	18.8
	14:00	15.8
	15:00	10.7
	16:00	4.0
	17:00	0.0
	18:00	0.0
	19:00	0.0
	20:00	0.0
	21:00	0.0
	22:00	0.0
	23:00	0.0
Sun, 26/Jan	24:00	0.0
	01:00	0.0
	02:00	0.0
	03:00	0.0
