School_Number,Classroom_Number,Time_Intervals,Date,Morning_Afternoon,Time ,Season ,Mode,Floor,Room_Orientation,Student_Ref_Num,Gender,Commuting_Type,Clothing_Level,Jumper_Cardigan,Clo_ Jumper,Clothing_Value,Fan_Status,Drink,TSV,TPV,TSVplusTPV,Air_Sensation_Vote,Air_Preference_Vote,Light_Sensation_Vote,Light_Preference_Vote,Comfortable_Level,Tiredness_Level,Temperature_Air,Temperature_Air_Average,Temperature_Radiant,Temperature_Radiant_Average,Air_Speed,Air_Speed_Average,Relative_Humidity,Relative_Humidity_Average,CO2,CO2_Average,CO2_10min,CO2_15min,Temperature_Operative,Temperature_Operative_Average,Temperature_Outdoor,TcomfortGriffiths,Temperature_Running_Mean,TcomfASHRAE,TcomfortCEN2TRM,UppermarginTcoCENTRM,LowermarginTcoCENTRM,Air_Speed_Outdoor,Relative_Humidity_Outdoor,Position,Daylight_Level,Exteriror_Door,AreaOfExteriorDoorOpen,AreaofOpenWindow,TotalOpenArea,PercentofOpenWindowAttheTimeOfSurvey
1,1.01,1.01,7/17/2017,1,12:00:00,1,1,2,7,24,2,1,4,1,0.25,0.55,2,4,-1,-1,-2,3,1,4,1,1,2,25.5,25.30,25.4,24.80,0.043,0.092,40.7,45,910,1099.57,977.50,957.70,25.45,25.05,22.8,28.48,15.42,22.58,23.89,25.89, ,0.8,48,3,2,3,0,6.88,6.88,86
1,1.01,1.01,7/17/2017,1,12:00:00,1,1,2,7,6,2,1,4,1,0.25,0.55,2,2,0,0,0,1,2,3,2,3,1,25.5,25.30,25.4,24.80,0.043,0.092,40.7,45,910,1099.57,977.50,957.70,25.45,25.05,22.8,25.45,15.42,22.58,23.89,25.89,21.89,0.8,48,1,5,3,0,6.88,6.88,86
1,1.01,1.01,7/17/2017,1,12:00:00,1,1,2,7,16,1,4,1,1,0.25,0.64,2,4,0,0,0,3,2,4,2,1,1,25.5,25.30,25.4,24.80,0.043,0.092,40.7,45,910,1099.57,977.50,957.70,25.45,25.05,22.8,25.45,15.42,22.58,23.89,25.89,21.89,0.8,48,2,4,3,0,6.88,6.88,86
1,1.01,1.01,7/17/2017,1,12:00:00,1,1,2,7,23,2,1,2,2,0,0.49,2,4,1,-2,-1,2,1,5,3,1,1,25.5,25.30,25.4,24.80,0.043,0.092,40.7,45,910,1099.57,977.50,957.70,25.45,25.05,22.8,22.42,15.42,22.58,23.89,25.89,21.89,0.8,48,3,2,3,0,6.88,6.88,86
1,1.01,1.01,7/17/2017,1,12:00:00,1,1,2,7,1,1,4,1,1,0.25,0.64,2,1,-1,-1,0,3,1,3,2,1,2,25.5,25.30,25.4,24.80,0.043,0.092,40.7,45,910,1099.57,977.50,957.70,25.45,25.05,22.8,28.48,15.42,22.58,23.89,25.89,21.89,0.8,48,1,9,3,0,6.88,6.88,86
1,1.01,1.01,7/17/2017,1,12:00:00,1,1,2,7,10,2,4,4,4,0,0.3,2,3,-1,0,1,3,2,4,1,3,3,25.5,25.30,25.4,24.80,0.043,0.092,40.7,45,910,1099.57,977.50,957.70,25.45,25.05,22.8,28.48,15.42,22.58,23.89,25.89,21.89,0.8,48,2,3,3,0,6.88,6.88,86
1,1.01,1.01,7/17/2017,1,12:00:00,1,1,2,7,11,1,1,1,1,0.25,0.64,2,1,-1,0,-1,2,2,4,2,3,3,25.5,25.30,25.4,24.80,0.043,0.092,40.7,45,910,1099.57,977.50,957.70,25.45,25.05,22.8,28.48,15.42,22.58,23.89,25.89,21.89,0.8,48,2,4,3,0,6.88,6.88,86
1,1.01,1.01,7/17/2017,1,12:00:00,1,1,2,7,5,1,1,1,4,0,0.39,2,4,0,0,0,1,2,3,2,1,1,25.5,25.30,25.4,24.80,0.043,0.092,40.7,45,910,1099.57,977.50,957.70,25.45,25.05,22.8,25.45,15.42,22.58,23.89,25.89,21.89,0.8,48,1,5,3,0,6.88,6.88,86
1,1.01,1.01,7/17/2017,1,12:00:00,1,1,2,7,7,2,1,2,2,0,0.49,2,1,0,0,0,3,1,3,2,1,1,25.5,25.30,25.4,24.80,0.043,0.092,40.7,45,910,1099.57,977.50,957.70,25.45,25.05,22.8,25.45,15.42,22.58,23.89,25.89,21.89,0.8,48,1,5,3,0,6.88,6.88,86
1,1.01,1.01,7/17/2017,1,12:00:00,1,1,2,7,14,1,1,1,2,0,0.39,2,4,0,-1,-1,3,1,3,1,1,1,25.5,25.30,25.4,24.80,0.043,0.092,40.7,45,910,1099.57,977.50,957.70,25.45,25.05,22.8,25.45,15.42,22.58,23.89,25.89,21.89,0.8,48,2,4,3,0,6.88,6.88,86
