School_Number,Classroom_Number,Time_Intervals,Date,Time ,Season ,Mode,Floor,Room_Orientation,Occupant_Num,TypeOfActivity,JustOccupiedOrnot,FillingQ,Temperature_Operative,TcomfortCENMode,Lower_Margin,MetabolicRate,Weight,Height,BodySurfaceArea,NumberOfStudents,NumOfStudentsDrinking,NumOfStudentsFanning,WithoutJumperOrCardigan,ClassroomArea,ClassroomHeight,ClassroomVolume,DepthtoHeightRatio,OpenningToClassroomArea,WindowAreatoClassroomRatio,TypeOfWindow,TypeofBlindShade,NumberofOperableBlindsShades,TypeofInternalDoor,VentilationType,VentilationFan,AreaOfOperableWindows2,TotalOperableAreas,AreaOfNonOperableWindow,AreaofDoorGlazing,TotalAreaofGlazing,NumberofOperableWindows,WindowGlazing,TypeOfWindowOperation,MinimumHeightOfOperableWindowSill,OpeningToWallRatio,PercentOfOpenWindow,AreaofOpenWindows,AreaofDoorOpen,TotalOpenArea,AreaofExteriorDoorOpening,AreaOfOperableWindows,TotalOperableArea,PercentOfOpenAreas,NumberofSlightlyOpenLargeWindows,NumberoffullyOpenSmallWindows,NumberofSlightlyOpenSamallWindows,NumberofOpenSmallWindows,TotalnumberOfOpenWindows,TotalNumberofWindowAdjustment,ReasonForAdjustment2,WhoDidAdjustment,BlindState,PercentOfClosedBlinds,ReasonForAdjustment,TotalNumberofBlindAdjustment,WhoDidAdjustment2,ExteriorShade,InteriorDoorState,ReasonForAdjustment3,WhoDidAdjustment3,ExteriorDoorState,ReasonForAdjustment5,WhoDidAdjustment5,StateOfConnectingDoor,HeatingSystem,FanOrCoolingSystem,ReasonForAdjustment4,WhoDidAdjustment4,Lights,Temperature_Air,Temperature_Radiant,Temperature_Operative,Temperature_Outdoor_Mean,Air_Speed,Relative_Humidity,CO2,CO2_Exterior,Temperature_Air_Outdoor,Relative_Humidity_Outdoor,Air_Speed_Outdoor,RainOrSnow,K,VCO2,Gpcm3s,GequalsnGp,GeForAdults,TotalGe,OccupantDensitym2,OccupantDensitym3,TcomfortG,TcomfortCENTrm,UpperMargin
1,1.01,1.01,7/17/2017,15:00:00,1,1,2,7,1,1,1,2,24.95,23.89,21.89,58,31.5,138.5,1.1,28,7,2,18,60,3.2,192,2.2,13.33,13.33,2,2,3,1,5,2,8,8,0,0,8,8,2,1,1,30,71,5.68,0,5.68,0,8,8,71,0,0,0,0,4,12,7,6,5,0,3,0,6,2,1,5,6,3,5,6,3,2,1,3,6,2,25.5,24.4,24.95,15.42,0.17,37.3,475.2,420,24.3,43,0.8,2,10.305,12.263,3.434,96.145,11.600,107.745,2.143,6.857,25.02,23.89,25.89
1,1.01,1.01,7/17/2017,13:00:00,1,1,2,7,1,1,1,2,24.55,23.89,21.89,58,31.5,138.5,1.1,28,10,0,28,60,3.2,192,2.2,13.33,13.33,2,2,3,1,5,2,8,8,0,0,8,8,2,1,1,30,86,6.88,0,6.88,0,8,8,86,0,2,0,2,6,10,7,6,5,0,3,0,6,2,1,5,6,3,5,6,3,2,1,3,6,2,25,24.1,24.55,15.42,0.13,38.7,489.2,420,24,43,0.8,2,10.292,12.247,3.429,96.016,11.600,107.616,2.143,6.857,25.02,23.89,25.89
1,1.01,1.01,7/17/2017,15:10:00,1,1,2,7,1,2,1,2,25.1,23.89,21.89,79,31.5,138.5,1.1,28,2,0,15,60,3.2,192,2.2,13.33,13.33,2,2,3,1,5,2,8,8,0,0,8,8,2,1,1,30,71,5.68,0,5.68,0,8,8,71,0,0,0,0,4,12,7,6,5,0,3,0,6,2,1,5,6,3,5,6,3,2,1,3,6,2,25.5,24.7,25.1,15.42,0.168,37.4,514.1,420,24.6,45,0.8,2,14.044,16.712,4.679,131.022,11.600,142.622,2.143,6.857,25.02,23.89,25.89
1,1.01,1.01,7/17/2017,14:20:00,1,1,2,7,1,2,1,2,25,23.89,21.89,79,31.5,138.5,1.1,28,21,10,28,60,3.2,192,2.2,13.33,13.33,2,2,3,1,5,2,8,8,0,0,8,8,2,1,1,30,86,6.88,0,6.88,0,8,8,86,0,2,0,2,6,10,7,6,5,0,3,0,6,2,1,5,6,3,5,6,3,2,1,3,6,2,25.5,24.5,25,15.42,0.01,38.4,518.7,420,24.6,43,1.7,2,14.039,16.706,4.678,130.978,11.600,142.578,2.143,6.857,25.02,23.89,25.89
1,1.01,1.01,7/17/2017,11:00:00,1,1,2,7,1,2,1,2,23.65,23.89,21.89,79,31.5,138.5,1.1,28,6,2,15,60,3.2,192,2.2,13.33,13.33,2,2,3,1,5,2,8,8,0,0,8,8,2,1,1,30,86,6.88,0,6.88,0,8,8,86,0,2,0,2,6,10,7,6,5,0,3,0,6,2,1,5,6,3,5,6,3,2,1,3,6,2,24.5,22.8,23.65,15.42,0.012,40.3,535.6,420,21.7,52,0.8,2,13.975,16.631,4.657,130.385,11.600,141.985,2.143,6.857,25.02,23.89,25.89
1,1.01,1.01,7/17/2017,11:10:00,1,1,2,7,1,1,1,2,24.05,23.89,21.89,58,31.5,138.5,1.1,20,0,0,9,60,3.2,192,2.2,13.33,13.33,2,2,3,1,5,2,8,8,0,0,8,8,2,1,1,30,86,6.88,0,6.88,0,8,8,86,0,2,0,2,6,10,7,6,5,0,3,0,6,2,1,5,6,3,5,6,3,2,1,3,6,2,24.5,23.6,24.05,15.42,0.023,39.9,560.6,420,22.2,49,0.8,2,10.274,12.226,3.423,68.467,11.600,80.067,3.000,9.600,25.02,23.89,25.89
1,1.01,1.01,7/17/2017,13:10:00,1,1,2,7,1,1,1,2,24.75,23.89,21.89,58,31.5,138.5,1.1,28,2,0,28,60,3.2,192,2.2,13.33,13.33,2,2,3,1,5,2,8,8,0,0,8,8,2,1,1,30,86,6.88,0,6.88,0,8,8,86,0,2,0,2,6,10,7,6,5,0,3,0,6,2,1,5,6,3,5,6,3,2,1,3,6,2,25,24.5,24.75,15.42,0.37,40.9,643.8,420,24.1,43,0.8,2,10.298,12.255,3.431,96.080,11.600,107.680,2.143,6.857,25.02,23.89,25.89
1,1.01,1.01,7/17/2017,09:00:00,1,1,2,7,1,1,1,2,25.05,23.89,21.89,58,31.5,138.5,1.1,28,0,0,15,60,3.2,192,2.2,13.33,13.33,2,2,3,1,5,2,8,8,0,0,8,8,2,1,1,30,66,5.28,0,5.28,0,8,8,66,0,2,0,2,5,5,7,6,5,0,3,0,6,2,1,5,6,3,5,6,3,2,1,3,6,2,25.5,24.6,25.05,15.42,0.233,46.2,658.3,420,18.3,66,0.8,2,10.309,12.267,3.435,96.177,11.600,107.777,2.143,6.857,25.02,23.89,25.89
1,1.01,1.01,7/17/2017,08:50:00,1,1,2,7,1,1,1,2,25.35,23.89,21.89,58,31.5,138.5,1.1,28,3,0,12,60,3.2,192,2.2,13.33,13.33,2,2,3,1,5,2,8,8,0,0,8,8,2,1,1,30,66,5.28,0,5.28,0,8,8,66,0,2,0,2,5,5,1,2,5,0,3,0,6,2,1,3,1,3,5,6,3,2,1,3,6,2,25.5,25.2,25.35,15.42,0.032,47.8,751.8,420,17.8,67,0.8,2,10.319,12.280,3.438,96.274,11.600,107.874,2.143,6.857,25.02,23.89,25.89
1,1.01,1.01,7/17/2017,14:30:00,1,1,2,7,1,2,1,2,25.15,23.89,21.89,79,31.5,138.5,1.1,28,1,0,28,60,3.2,192,2.2,13.33,13.33,2,2,3,1,5,2,8,8,0,0,8,8,2,1,1,30,86,6.88,0,6.88,0,8,8,86,0,2,0,2,6,10,7,6,5,0,3,0,6,2,1,5,6,3,5,6,3,2,1,3,6,2,25.5,24.8,25.15,15.42,0.08,42.7,774,420,24.7,43,1.7,2,14.046,16.715,4.680,131.044,11.600,142.644,2.143,6.857,25.02,23.89,25.89
